Spine Sector,Proposed Spine sector level class,Proposed Spine function level class,CRS interface level (menu of disaggregated classifications to enable full reconciliation to CRS),DAC/CRS Code,lowest level DAC/CRS associated classifications
General Public Service,Executive,Executive,,15140,Government administration 
General Public Service,Legislative,Legislative,,15140,Government administration 
General Public Service,Accountability,Macroeconomic Policy,,15120,Public sector financial management
General Public Service,Accountability,Budgeting,,15120,Public sector financial management
General Public Service,Accountability,Planning,,15110,Economic and development policy/planning
General Public Service,Accountability,Debt And Aid Managment,action relating to debt,60010,Action relating to debt
General Public Service,Accountability,Debt And Aid Managment,debt forgiveness,60020,Debt forgiveness 
General Public Service,Accountability,Debt And Aid Managment,Relief of multilateral debt,60030,Relief of multilateral debt
General Public Service,Accountability,Debt And Aid Managment,Rescheduling and refinancing,60040,Rescheduling and refinancing
General Public Service,Accountability,Debt And Aid Managment,Debt for development swap,60061,Debt for development swap
General Public Service,Accountability,Debt And Aid Managment,Other debt swap,60062,Other debt swap
General Public Service,Accountability,Debt And Aid Managment,Debt buy-back,60063,Debt buy-back
General Public Service,Accountability,Tax Policy,,15140,Government administration 
General Public Service,Accountability,Tax Collection,,15140,Government administration 
General Public Service,Accountability,Local Government Finance,,15141,Government administration 
General Public Service,Accountability,Other Central Transfers To Institutions ,,15142,Government administration 
General Public Service,Accountability,National Audit,,15140,Government administration 
General Public Service,Accountability,National Monitoring And Evaluation,,15140,Government administration 
General Public Service,Accountability,Monetary Institutions,,24020,Monetary institutions
General Public Service,Accountability,Financial Sector Policy And Regulation,Public sector financial management,15120,Public sector financial management
General Public Service,Accountability,Financial Sector Policy And Regulation,Financial policy and administrative management,24010,Financial policy and administrative management
General Public Service,External Affairs,Foreign Affairs,,15140,Government administration 
General Public Service,External Affairs,Diplomatic Missions,,15140,Government administration 
General Public Service,External Affairs,Oda,non-CRS,x,
General Public Service,General Personnel Services (public Service Commission),General Personnel Services,,15140,Government administration 
General Public Service,Statistics,Statistics,,16062,Statistical capacity building
General Public Service,Other General Services,Other General Services,,15140,Government administration 
General Public Service,Other General Services,Central Procurement,non-CRS,x,
General Public Service,Other General Services,Support To Civil Society ,Strengthening civil society,15150,Strengthening civil society
General Public Service,Other General Services,Support To Civil Society ,Support to local and regional NGOs,92030,Support to local and regional NGOs
General Public Service,Elections,Elections,,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order","Policy, Planning And Administration",,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order",Police,Government administration ,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order",Police,Narcotics control,16063,Narcotics control
"Justice, Law, Order and Security","Justice, Law And Order",Fire,,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order",Judicial,,15130,Legal and judicial development
"Justice, Law, Order and Security","Justice, Law And Order",Human Rights Affairs,,15162,Human rights
"Justice, Law, Order and Security","Justice, Law And Order",Immigration,,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order",Anti Corruption,,15120,Public sector financial management
"Justice, Law, Order and Security","Justice, Law And Order",Prisons,,15140,Government administration 
"Justice, Law, Order and Security","Justice, Law And Order",Peace Building ,"Civilian peace-building, conflict prevention and resolution",15220,"Civilian peace-building, conflict prevention and resolution"
"Justice, Law, Order and Security","Justice, Law And Order",Peace Building ,Post-conflict peace-building (UN),15230,Post-conflict peace-building (UN)
"Justice, Law, Order and Security","Justice, Law And Order",Demobilisation,Reintegration and SALW control,15240,Reintegration and SALW control
"Justice, Law, Order and Security","Justice, Law And Order",Demobilisation,Child soldiers (Prevention and demobilisation) ,15261,Child soldiers (Prevention and demobilisation) 
"Justice, Law, Order and Security",Defence,"Policy, Planning And Administration",,15210,Security system management and reform
"Justice, Law, Order and Security",Defence,Military,Security system management and reform,15210,Security system management and reform
"Justice, Law, Order and Security",Defence,Military,Land mine clearance,15250,Land mine clearance
"Justice, Law, Order and Security",Defence,Civil Defence,,15210,Security system management and reform
"Justice, Law, Order and Security",Defence,Foreign Military Aid,non-CRS,x,
Economic Affairs,"General Economic, Commercial And Labour Affairs",General,,25010,Business support services and institutions
Economic Affairs,"General Economic, Commercial And Labour Affairs",Investment Promotion,,25010,Business support services and institutions
Economic Affairs,"General Economic, Commercial And Labour Affairs",Privatisation,,25020,Privatisation
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Trade policy and administrative management,33110,Trade policy and administrative management
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Trade facilitation,33120,Trade facilitation
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Regional trade agreements (RTAs),33130,Regional trade agreements (RTAs)
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Multilateral trade negotiations,33140,Multilateral trade negotiations
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Trade-related adjustment,33150,Trade-related adjustment
Economic Affairs,"General Economic, Commercial And Labour Affairs",Trade,Trade education/training,33181,Trade education/training
Economic Affairs,"General Economic, Commercial And Labour Affairs",Labour,,16020,Employment policy and administrative management
Economic Affairs,"General Economic, Commercial And Labour Affairs",National Standards Development,,15140,Government administration 
Economic Affairs,Public Works And Construction,"Policy, Planning And Administration",,32310,Construction policy and administrative management
Economic Affairs,Public Works And Construction,Construction Regulation,,32310,Construction policy and administrative management
Economic Affairs,Public Works And Construction,Mechanical Services,,32310,Construction policy and administrative management
Economic Affairs,Agriculture,"Policy, Planning And Administration",Agricultural policy and administrative management,31110,Agricultural policy and administrative management
Economic Affairs,Agriculture,"Policy, Planning And Administration",Agrarian reform,31164,Agrarian reform
Economic Affairs,Agriculture,Irrigation,,31140,Agricultural water resources
Economic Affairs,Agriculture,Inputs,,31150,Agricultural inputs
Economic Affairs,Agriculture,Food Crop,,31161,Food crop production
Economic Affairs,Agriculture,Industrial Crop,,31162,Industrial crops/export crops
Economic Affairs,Agriculture,Livestock,Livestock,31163,Livestock
Economic Affairs,Agriculture,Livestock,Livestock/veterinary services,31195,Livestock/veterinary services
